symbol,date,open,high,low,close,adjClose,volume,unadjustedVolume,vwap,changeOverTime,changePercent,label,change
SPY,2018-09-07,286.98,288.7,286.71,287.6,265.290649,73771637,73524800,287.6,0.0021604,0.21604,"September 07, 18",0.62
SPY,2018-09-10,288.74,289.04,287.88,288.1,265.751801,50383549,50210900,288.18,-0.0022165,-0.22165,"September 10, 18",-0.64
SPY,2018-09-11,287.37,289.55,286.975,289.05,266.628113,50692799,50530500,288.7,0.0058461,0.58461,"September 11, 18",1.68
SPY,2018-09-12,289.06,289.8,288.23,289.12,266.692688,59964316,59810800,289.04,0.0002075694,0.02075694,"September 12, 18",0.06
SPY,2018-09-13,290.32,291.0384,289.995,290.83,268.270111,51250431,51034200,290.54,0.0017567,0.17567,"September 13, 18",0.51
SPY,2018-09-14,291.06,291.27,290,290.88,268.316223,55408620,55079900,290.79,-0.0006184292,-0.06184292,"September 14, 18",-0.18
SPY,2018-09-17,290.82,290.86,289.03,289.34,266.895599,68422577,68244000,289.96,-0.0050891,-0.50891,"September 17, 18",-1.48
SPY,2018-09-18,289.58,291.58,289.55,290.91,268.343964,62068223,61930400,290.71,0.0045929,0.45929,"September 18, 18",1.33
SPY,2018-09-19,290.97,291.69,290.825,291.22,268.629791,49234767,49080600,291.22,0.0008591951,0.08591951,"September 19, 18",0.25
SPY,2018-09-20,292.64,293.94,292.51,293.58,270.806702,100680441,100360600,293.07,0.0032121,0.32121,"September 20, 18",0.94
SPY,2018-09-21,293.09,293.22,291.81,291.99,270.559296,105990001,105479700,292.56,-0.0037531,-0.37531,"September 21, 18",-1.1
SPY,2018-09-24,291.34,291.5,290.37,291.02,269.660522,53617626,53409600,291.01,-0.0010984,-0.10984,"September 24, 18",-0.32
SPY,2018-09-25,291.53,291.65,290.4833,290.75,269.410278,44519004,44370000,290.97,-0.0026755,-0.26755,"September 25, 18",-0.78
SPY,2018-09-26,290.91,292.24,289.41,289.88,268.604156,79911402,79739700,290.68,-0.0035406,-0.35406,"September 26, 18",-1.03
SPY,2018-09-27,290.41,291.91,290.1,290.69,269.354767,59409063,59249500,290.9,0.0009641541,0.09641541,"September 27, 18",0.28
SPY,2018-09-28,289.99,291.28,289.95,290.72,269.382507,70252073,70091400,290.6,0.0025173,0.25173,"September 28, 18",0.73
SPY,2018-10-01,292.11,292.93,290.98,291.73,270.318481,62343161,62078900,291.96,-0.0013009,-0.13009,"October 01, 18",-0.38
SPY,2018-10-02,291.56,292.355,291.14,291.56,270.160889,47413317,47258200,291.71,0,0,"October 02, 18",0
SPY,2018-10-03,292.74,293.21,291.32,291.72,270.309174,64868181,64694600,292.26,-0.0034843,-0.34843,"October 03, 18",-1.02
SPY,2018-10-04,291.18,291.24,287.66,289.44,268.196472,111720269,111545900,289.46,-0.0059757,-0.59757,"October 04, 18",-1.74
SPY,2018-10-05,289.69,290.27,286.22,287.82,266.695435,106124402,105951700,288.12,-0.0064552,-0.64552,"October 05, 18",-1.87
SPY,2018-10-08,287.05,288.22,285.5,287.82,266.695435,87906258,87742200,287.19,0.0026825,0.26825,"October 08, 18",0.77
SPY,2018-10-09,287.39,288.86,286.77,287.4,266.306183,74515236,74339000,287.72,3.47959e-05,0.00347959,"October 09, 18",0.01
SPY,2018-10-10,286.83,286.91,277.88,278.3,257.874023,214927448,214731000,282.03,-0.0297,-2.97,"October 10, 18",-8.53
SPY,2018-10-11,277.08,278.9,270.36,272.17,252.194061,275223827,274840500,275.06,-0.0177,-1.77,"October 11, 18",-4.91
SPY,2018-10-12,276.77,277.09,272.37,275.95,255.696609,183677199,183186500,274.91,-0.0029627,-0.29627,"October 12, 18",-0.82
SPY,2018-10-15,275.55,277.04,274.3,274.4,254.26033,102574481,102263700,275.53,-0.0041735,-0.41735,"October 15, 18",-1.15
SPY,2018-10-16,276.6,280.82,276.07,280.4,259.819977,118488962,118255800,278.52,0.0137,1.37,"October 16, 18",3.8
SPY,2018-10-17,280.44,281.15,277.56,280.45,259.866272,110820162,110626000,279.89,3.56583e-05,0.00356583,"October 17, 18",0.01
SPY,2018-10-18,279.4,280.07,274.97,276.4,256.113556,134721354,134557500,277.12,-0.0107,-1.07,"October 18, 18",-3
SPY,2018-10-19,277.13,279.3,275.47,276.25,255.974594,140158680,139901600,277.07,-0.0031754,-0.31754,"October 19, 18",-0.88
SPY,2018-10-22,277,277.36,274.41,275.01,254.825623,82725472,82415800,275.58,-0.0071841,-0.71841,"October 22, 18",-1.99
SPY,2018-10-23,270.95,274.87,268.61,273.61,253.528275,146690958,146352700,271.94,0.0098173,0.98173,"October 23, 18",2.66
SPY,2018-10-24,273.33,273.76,264.7,265.32,245.846817,178004185,177806700,269.12,-0.0293,-2.93,"October 24, 18",-8.01
SPY,2018-10-25,267.38,271.81,266.23,270.08,250.257431,138485214,138061500,269.13,0.0101,1.01,"October 25, 18",2.7
SPY,2018-10-26,265.92,271,262.29,265.33,245.856033,201855216,201574600,265.54,-0.0022187,-0.22187,"October 26, 18",-0.59
SPY,2018-10-29,268.8,270.25,259.85,263.86,244.493958,161040110,160749100,265.5,-0.0184,-1.84,"October 29, 18",-4.94
SPY,2018-10-30,263.67,268.12,263.12,267.77,248.116974,157427861,157116000,265.8,0.0155,1.55,"October 30, 18",4.1
SPY,2018-10-31,270.65,273.23,270.12,270.63,250.767044,128554205,128296300,271.45,-7.38962e-05,-0.00738962,"October 31, 18",-0.02
SPY,2018-11-01,271.6,273.73,270.38,273.51,253.435669,99767654,99495000,272.35,0.0070324,0.70324,"November 01, 18",1.91
SPY,2018-11-02,274.75,275.23,269.59,271.89,251.934509,122870143,122634100,272.17,-0.0104,-1.04,"November 02, 18",-2.86
SPY,2018-11-05,272.44,274.01,271.35,273.39,253.324463,66024033,65622500,272.84,0.003487,0.3487,"November 05, 18",0.95
SPY,2018-11-06,273.32,275.3,273.25,275.12,254.927536,60315002,60085900,274.49,0.0065857,0.65857,"November 06, 18",1.8
SPY,2018-11-07,277.56,281.1,277.08,281.01,260.385162,103117489,102752100,279.36,0.0124,1.24,"November 07, 18",3.45
SPY,2018-11-08,280.11,281.22,279.22,280.5,259.912598,65855558,65584900,280.34,0.0013923,0.13923,"November 08, 18",0.39
SPY,2018-11-09,279.03,279.24,276.18,277.76,257.373718,99066651,98812600,277.91,-0.0045515,-0.45515,"November 09, 18",-1.27
SPY,2018-11-12,277.19,277.46,271.99,272.57,252.564697,99917602,99673600,273.96,-0.0167,-1.67,"November 12, 18",-4.62
SPY,2018-11-13,273.09,275.325,271.25,272.06,252.092102,98367042,98176600,272.89,-0.0037717,-0.37717,"November 13, 18",-1.03
SPY,2018-11-14,274.16,274.61,268.45,270.2,250.368622,125597921,125335900,271.03,-0.0144,-1.44,"November 14, 18",-3.96
SPY,2018-11-15,268.78,273.54,267.0102,273.02,252.981598,135381020,135101400,270.86,0.0158,1.58,"November 15, 18",4.24
SPY,2018-11-16,271.79,274.75,271.21,273.73,253.639511,126674894,126668000,273.15,0.0071379,0.71379,"November 16, 18",1.94
SPY,2018-11-19,273.05,273.38,268.07,269.1,249.349365,103352552,103061700,269.95,-0.0145,-1.45,"November 19, 18",-3.95
SPY,2018-11-20,265.36,267,263.15,264.12,244.734863,136357844,136021300,265.21,-0.0046729,-0.46729,"November 20, 18",-1.24
SPY,2018-11-21,265.86,267.15,265.01,265.02,245.568787,75794028,75563700,265.85,-0.0031596,-0.31596,"November 21, 18",-0.84
SPY,2018-11-23,263.18,264.8234,263.07,263.25,243.928696,42915984,42807900,263.94,0.0002659777,0.02659777,"November 23, 18",0.07
SPY,2018-11-26,265.78,267.75,265.34,267.5,247.866745,80197723,79981400,266.55,0.0064715,0.64715,"November 26, 18",1.72
SPY,2018-11-27,266.34,268.4,265.66,268.4,248.700668,75724600,75502400,267.46,0.0077345,0.77345,"November 27, 18",2.06
SPY,2018-11-28,269.6,274.58,268.53,274.58,254.427109,127808761,127629600,272.04,0.0185,1.85,"November 28, 18",4.98
SPY,2018-11-29,273.71,275.55,272.43,273.98,253.871216,82565260,82346400,273.95,0.0009864455,0.09864455,"November 29, 18",0.27
SPY,2018-11-30,273.81,276.28,273.45,275.65,255.418564,98406037,98204200,275.08,0.00672,0.672,"November 30, 18",1.84
SPY,2018-12-03,280.28,280.4,277.505,279.3,258.80072,103621342,103176300,278.95,-0.0034965,-0.34965,"December 03, 18",-0.98
SPY,2018-12-04,278.37,278.85,269.9,270.25,250.414948,178306470,177986000,272.99,-0.0292,-2.92,"December 04, 18",-8.12
SPY,2018-12-06,265.92,269.97,262.44,269.84,250.035049,204590513,204185400,266.58,0.0147,1.47,"December 06, 18",3.92
SPY,2018-12-07,269.46,271.22,262.63,263.57,244.22522,161157925,161018900,265.66,-0.0219,-2.19,"December 07, 18",-5.89
SPY,2018-12-10,263.37,265.1613,258.62,264.07,244.688553,151659423,151445900,262.2,0.0026579,0.26579,"December 10, 18",0.7
SPY,2018-12-11,267.66,267.87,262.48,264.13,244.744125,121723676,121504400,265.24,-0.0132,-1.32,"December 11, 18",-3.53
SPY,2018-12-12,267.47,269,265.37,265.46,245.976486,98126473,97976700,266.95,-0.0075149,-0.75149,"December 12, 18",-2.01
SPY,2018-12-13,266.52,267.49,264.12,265.37,245.893097,96795495,96662700,265.53,-0.0043149,-0.43149,"December 13, 18",-1.15
SPY,2018-12-14,262.96,264.03,259.85,260.47,241.352753,117114555,116961100,261.67,-0.0094691,-0.94691,"December 14, 18",-2.49
SPY,2018-12-17,259.4,260.65,253.525,255.36,236.617828,165765430,165492300,256.95,-0.0156,-1.56,"December 17, 18",-4.04
SPY,2018-12-18,257.2,257.95,253.28,255.08,236.358353,134807188,134515100,255.92,-0.0082426,-0.82426,"December 18, 18",-2.12
SPY,2018-12-19,255.17,259.4,249.35,251.26,232.818741,215264510,214992800,253.93,-0.0153,-1.53,"December 19, 18",-3.91
SPY,2018-12-20,249.86,251.62,244.65,247.17,229.028915,252385885,252053400,248.29,-0.0108,-1.08,"December 20, 18",-2.69
SPY,2018-12-21,246.74,249.71,239.98,240.7,224.336197,256044461,255345600,243.93,-0.0245,-2.45,"December 21, 18",-6.04
SPY,2018-12-24,239.04,240.8355,234.27,234.34,218.408569,147673432,147311600,237.28,-0.0197,-1.97,"December 24, 18",-4.7
SPY,2018-12-26,235.97,246.18,233.76,246.18,229.443634,218930378,218485400,239.56,0.0433,4.33,"December 26, 18",10.21
SPY,2018-12-27,242.57,248.29,238.96,248.07,231.205185,186492032,186267300,243.5,0.0227,2.27,"December 27, 18",5.5
SPY,2018-12-28,249.58,251.4,246.45,247.75,230.906906,153456587,153100200,248.58,-0.0073323,-0.73323,"December 28, 18",-1.83
SPY,2018-12-31,249.56,250.19,247.47,249.92,232.929398,144580752,144299400,249.14,0.0014425,0.14425,"December 31, 18",0.36
SPY,2019-01-02,245.98,251.21,245.95,250.18,233.171722,125288628,126925200,249.16,0.0171,1.71,"January 02, 19",4.2
SPY,2019-01-03,248.23,248.57,243.67,244.21,227.60759,144399852,144140700,245.66,-0.0162,-1.62,"January 03, 19",-4.02
SPY,2019-01-04,247.59,253.11,247.17,252.39,235.231506,142783561,142628800,250.45,0.0194,1.94,"January 04, 19",4.8
SPY,2019-01-07,252.69,255.95,251.69,254.38,237.086197,103337384,103139100,254.06,0.006688,0.6688,"January 07, 19",1.69
SPY,2019-01-08,256.82,257.31,254,256.77,239.313736,102876980,102512600,255.85,-0.0001946889,-0.01946889,"January 08, 19",-0.05
SPY,2019-01-09,257.56,258.91,256.19,257.97,240.432114,95180179,95006600,257.81,0.0015919,0.15919,"January 09, 19",0.41
SPY,2019-01-10,256.26,259.16,255.5,258.88,241.280258,96986141,96823900,257.82,0.0102,1.02,"January 10, 19",2.62
SPY,2019-01-11,257.68,259.0098,257.03,258.98,241.373505,74046665,73858100,258.33,0.005045,0.5045,"January 11, 19",1.3
SPY,2019-01-14,256.86,258.3,256.41,257.4,239.900894,71094744,70908200,257.75,0.0021023,0.21023,"January 14, 19",0.54
SPY,2019-01-15,257.82,260.7,257.81,260.35,242.65033,85383463,85208300,259.64,0.009813,0.9813,"January 15, 19",2.53
SPY,2019-01-16,260.83,261.9666,260.6,260.98,243.237518,77763536,77636700,261.22,0.0005750872,0.05750872,"January 16, 19",0.15
SPY,2019-01-17,260.01,263.92,259.96,262.96,245.082932,96214228,96118400,262.07,0.0113,1.13,"January 17, 19",2.95
SPY,2019-01-18,264.98,266.98,264.1,266.46,248.344955,128167820,127900300,265.7,0.0055853,0.55853,"January 18, 19",1.48
SPY,2019-01-22,264.82,265.06,261.06,262.86,244.98967,115766295,115531200,262.95,-0.0074013,-0.74013,"January 22, 19",-1.96
SPY,2019-01-23,264.01,264.79,260.66,263.41,245.502274,86206108,86030300,262.8,-0.0022726,-0.22726,"January 23, 19",-0.6
SPY,2019-01-24,263.21,264.2,262.08,263.55,245.632751,59392838,59204100,263.25,0.0012917,0.12917,"January 24, 19",0.34
SPY,2019-01-25,265.61,266.7,265.11,265.78,247.711166,97097278,96883400,265.86,0.0006400361,0.06400361,"January 25, 19",0.17
SPY,2019-01-28,263.39,263.83,261.79,263.76,245.828445,85873204,85613700,263.37,0.0014048,0.14048,"January 28, 19",0.37
SPY,2019-01-29,263.92,264.55,262.48,263.41,245.502274,66310029,66136300,263.51,-0.0019324,-0.19324,"January 29, 19",-0.51
SPY,2019-01-30,265.1,268.52,264.25,267.58,249.388763,92663208,92473700,266.58,0.009355,0.9355,"January 30, 19",2.48
SPY,2019-01-31,267.51,270.47,267.27,269.93,251.579025,104338660,104012100,269.44,0.0090464,0.90464,"January 31, 19",2.42
SPY,2019-02-01,270.15,271.2,269.18,270.06,251.700211,85985432,85782500,270.13,-0.0003331483,-0.03331483,"February 01, 19",-0.09
SPY,2019-02-04,270.11,272.03,269.36,271.96,253.471039,60941637,60744800,270.99,0.0068491,0.68491,"February 04, 19",1.85
SPY,2019-02-05,272.44,273.44,271.88,273.1,254.533478,79770321,79552800,272.81,0.0024226,0.24226,"February 05, 19",0.66
SPY,2019-02-06,272.79,273.34,271.92,272.74,254.197968,58527605,58347800,272.7,-0.0001832912,-0.01832912,"February 06, 19",-0.05
SPY,2019-02-07,270.94,271.55,268.29,270.14,251.774765,95671893,95482000,269.84,-0.0029527,-0.29527,"February 07, 19",-0.8
SPY,2019-02-08,268.75,270.58,267.83,270.47,252.082291,75957721,75788900,269.21,0.0064,0.64,"February 08, 19",1.72
SPY,2019-02-11,271.2,271.49,270.03,270.62,252.222183,68231472,68021400,270.65,-0.0021386,-0.21386,"February 11, 19",-0.58
SPY,2019-02-12,272.42,274.52,272.34,274.1,255.4655,72473518,72270200,273.8,0.0061669,0.61669,"February 12, 19",1.68
SPY,2019-02-13,275.03,275.93,274.56,274.99,256.295044,65466051,65277200,275.19,-0.0001454387,-0.01454387,"February 13, 19",-0.04
SPY,2019-02-14,273.78,275.64,272.87,274.38,255.726501,83419157,83234400,274.38,0.0021915,0.21915,"February 14, 19",0.6
SPY,2019-02-15,276.36,277.41,276.13,277.37,258.513214,97474537,97088700,276.67,0.0036547,0.36547,"February 15, 19",1.01
SPY,2019-02-19,276.4813,278.58,276.47,277.85,258.960632,59418845,59120800,277.75,0.0049504,0.49504,"February 19, 19",1.3687
SPY,2019-02-20,277.81,278.92,277.25,278.41,259.482483,76764189,76610800,278.16,0.0021597,0.21597,"February 20, 19",0.6
SPY,2019-02-21,277.7,278.1,276.345,277.42,258.559906,64405824,64214700,277.33,-0.0010083,-0.10083,"February 21, 19",-0.28
SPY,2019-02-22,278.11,279.36,277.82,279.14,260.162842,78258649,78114600,278.63,0.0037036,0.37036,"February 22, 19",1.03
SPY,2019-02-25,280.73,281.31,279.43,279.52,260.517059,69322652,69030700,280.24,-0.0043102,-0.43102,"February 25, 19",-1.21
SPY,2019-02-26,279.13,280.3,278.9,279.32,260.330688,57089806,56844100,279.56,0.0006806864,0.06806864,"February 26, 19",0.19
SPY,2019-02-27,278.52,279.59,277.48,279.2,260.218811,57054608,56921600,278.8,0.0024415,0.24415,"February 27, 19",0.68
SPY,2019-02-28,278.96,279.45,278.32,278.68,259.734161,69500312,69268300,278.82,-0.0010037,-0.10037,"February 28, 19",-0.28
SPY,2019-03-01,280.44,280.88,278.82,280.42,261.355896,79174444,78880500,280.1,-7.13165e-05,-0.00713165,"March 01, 19",-0.02
SPY,2019-03-04,281.6,281.87,276.84,279.4,260.405212,106841658,106494600,279.18,-0.0078125,-0.78125,"March 04, 19",-2.2
SPY,2019-03-05,279.54,279.76,278.41,279.02,260.051025,59349865,59114600,279.2,-0.0018602,-0.18602,"March 05, 19",-0.52
SPY,2019-03-06,279.15,279.16,276.97,277.33,258.475983,75258390,75039800,277.8,-0.0065198,-0.65198,"March 06, 19",-1.82
SPY,2019-03-07,276.83,276.99,274.07,275.01,256.31369,95131703,94885100,275.32,-0.0065744,-0.65744,"March 07, 19",-1.82
SPY,2019-03-08,272.94,274.65,272.42,274.46,255.801071,86091282,85795800,273.52,0.005569,0.5569,"March 08, 19",1.52
SPY,2019-03-11,275.26,278.62,275.23,278.44,259.510498,65367331,65098900,277.61,0.0116,1.16,"March 11, 19",3.18
SPY,2019-03-12,279.06,280.07,278.85,279.49,260.489075,79963295,79667500,279.34,0.0015409,0.15409,"March 12, 19",0.43
SPY,2019-03-13,280.48,282.38,280.3,281.34,262.213318,80938255,80639200,281.17,0.0030662,0.30662,"March 13, 19",0.86
SPY,2019-03-14,281.37,281.84,280.6662,281.16,262.045593,67792728,67518400,281.29,-0.0007463482,-0.07463482,"March 14, 19",-0.21
SPY,2019-03-15,280.54,282.21,280.33,281.31,263.34024,81676972,81309000,281.19,0.0027447,0.27447,"March 15, 19",0.77
SPY,2019-03-18,281.55,282.66,281.3,282.33,264.295074,62543177,62199800,282.06,0.0027704,0.27704,"March 18, 19",0.78
SPY,2019-03-19,283.51,284.36,281.41,282.4,264.360626,90623417,90268100,282.89,-0.0039152,-0.39152,"March 19, 19",-1.11
SPY,2019-03-20,282.16,283.5,280.32,281.55,263.564911,84863595,84609200,281.87,-0.0021619,-0.21619,"March 20, 19",-0.61
SPY,2019-03-21,280.64,285.18,280.59,284.73,266.541748,79726155,79550400,283.74,0.0146,1.46,"March 21, 19",4.09
SPY,2019-03-22,283.22,283.8034,279.18,279.25,261.411804,122792033,122659300,280.8,-0.014,-1.4,"March 22, 19",-3.97
SPY,2019-03-25,278.87,280.1853,277.64,279.04,261.215271,85878123,85575200,278.89,0.000609603,0.0609603,"March 25, 19",0.17
SPY,2019-03-26,280.99,282.18,279.56,281.12,263.162354,68303718,68125900,280.74,0.0004626499,0.04626499,"March 26, 19",0.13
